model,cw_pct,ots_pct,ots_macro,balanced_ots,threat_capture,critical_miss,anomaly_capture,anomaly_suppression,false_review,false_escalation,ord_pct,mae,rmse,exact,minor,hard,hard_miss,hard_over,n_errors,n,avg_seconds_per_event,total_tokens,total_llm_errors,rank,tier,incomplete
gemini-3.7-flash,72.5,72.1,73.5,72.5,100.0,0.0,86.5,13.5,28.9,3.1,86.2,16.3,20.9,140,46,3,0,0,0,189,0,0,0,1,closed_source,False
gemini-3.5-flash,69.6,68.7,69.6,68.8,98.2,1.8,89.2,10.8,30.9,5.2,84.1,16.2,21.4,135,48,6,1,5,0,189,9.23,846128,0,2,closed_source,False
gemini-3.1-flash-lite,67.8,68.8,70.4,70.8,100.0,0.0,91.9,8.1,33.0,3.1,83.9,17.5,23.6,131,55,3,0,3,0,189,2.07,543650,0,3,closed_source,False
claude-opus-4.5,66.3,66.7,70.6,69.0,98.2,1.8,94.6,5.4,35.1,12.4,81.7,16.0,21.0,133,43,13,1,12,0,189,9.42,601173,0,4,closed_source,False
gemini-3.1-pro,66.2,64.7,67.3,66.3,98.2,1.8,86.5,13.5,37.1,3.1,82.8,17.2,22.1,128,57,4,1,3,0,189,22.33,1277608,0,5,closed_source,False
qwen3.6-27b,66.1,64.4,66.8,61.3,94.5,5.5,81.1,18.9,24.7,2.1,83.1,17.0,22.2,130,54,5,3,2,0,189,49.18,894355,1,6,open_source_consumer,False
gemma4-31b,65.7,65.7,71.3,68.5,100.0,0.0,91.9,8.1,39.2,5.2,82.3,18.0,22.4,127,57,5,0,5,0,189,22.45,543010,4,7,open_source_consumer,False
qwen3.7-max,65.7,63.5,65.4,61.7,100.0,0.0,73.0,27.0,32.0,6.2,82.3,17.5,22.7,128,55,6,0,6,0,189,12.72,716851,0,8,closed_source,False
qwen3.6-max,65.4,56.8,60.6,50.1,87.3,12.7,64.9,35.1,22.7,8.2,81.2,17.5,23.3,133,41,15,7,8,0,189,95.29,1614322,3,9,closed_source,False
glm-5.1,65.3,65.4,69.7,69.6,100.0,0.0,91.9,8.1,39.2,10.3,81.5,15.7,20.7,129,50,10,0,10,0,189,36.35,649334,1,10,open_source_pro,False
glm-5,64.2,63.3,68.3,65.5,98.2,1.8,89.2,10.8,37.1,12.4,80.4,17.1,22.2,128,48,13,1,12,0,189,34.96,942694,64,11,open_source_pro,False
kimi-k2.7-code,64.0,64.7,68.0,67.7,98.2,1.8,91.9,8.1,36.1,7.2,81.5,16.3,21.6,127,54,8,1,7,0,189,26.45,743942,0,12,open_source_pro,False
qwen3.7-plus,63.8,62.5,62.0,61.0,96.4,3.6,81.1,18.9,28.9,4.1,81.5,17.5,22.3,125,58,6,2,4,0,189,33.58,797445,2,13,closed_source,False
qwen3.5-plus-20260420,63.7,59.1,63.5,52.8,92.7,7.3,70.3,29.7,23.7,7.2,80.7,19.8,25.7,127,51,11,4,7,0,189,45.82,953991,2,14,closed_source,False
kimi-k2.6,63.6,62.1,65.0,61.2,96.4,3.6,81.1,18.9,30.9,4.1,81.5,17.2,22.4,125,58,6,2,4,0,189,72.45,1055940,6,15,open_source_pro,False
gemma4-26b-a4b,63.5,61.9,65.8,62.8,100.0,0.0,83.8,16.2,40.2,11.3,80.2,17.5,22.7,125,53,11,0,11,0,189,12.78,545129,0,16,open_source_consumer,False
grok-4.3-openrouter,63.2,61.0,68.2,60.6,96.4,3.6,78.4,21.6,35.1,7.2,81.2,16.4,21.5,127,53,9,2,7,0,189,13.2,645229,1,17,closed_source,False
claude-opus-4.8,62.6,63.9,66.8,64.7,100.0,0.0,83.8,16.2,33.0,4.1,81.5,15.0,18.5,123,62,4,0,4,0,189,9.1,871549,0,18,closed_source,False
claude-opus-4.6,62.4,62.0,66.1,64.8,100.0,0.0,89.2,10.8,43.3,9.3,80.2,15.6,19.8,123,57,9,0,9,0,189,11.93,613608,0,19,closed_source,False
deepseek-v4-pro,61.5,60.6,60.3,60.0,100.0,0.0,78.4,21.6,35.1,5.2,80.2,19.5,25.5,119,65,5,0,5,0,189,29.82,677360,0,20,open_source_pro,False
mimo-v2-pro,61.2,55.3,62.4,49.7,94.5,5.5,67.6,32.4,30.9,16.5,77.8,21.8,29.1,124,46,19,3,16,0,189,9.85,533689,2,21,closed_source,False
deepseek-v4-pro-0813,60.4,62.2,64.2,66.9,100.0,0.0,94.6,5.4,40.2,8.2,79.4,17.9,22.4,119,62,8,0,0,0,189,0,0,0,22,closed_source,False
qwen3.6-plus,60.3,54.3,57.2,47.5,90.9,9.1,64.9,35.1,26.8,3.1,79.6,17.5,22.9,120,61,8,5,3,0,189,41.64,915707,0,23,closed_source,False
gemini-2.5-pro,60.2,59.3,64.9,60.8,100.0,0.0,94.6,5.4,41.2,23.7,75.7,24.3,30.4,120,46,23,0,23,0,189,15.88,787292,0,24,closed_source,False
nemotron-3-ultra-550b,59.5,58.9,59.1,60.3,98.2,1.8,83.8,16.2,37.1,7.2,78.8,17.6,23.0,117,64,8,1,7,0,189,54.03,697973,2,25,open_source_pro,False
claude-sonnet-4.5,59.4,58.1,62.9,61.9,98.2,1.8,91.9,8.1,45.4,13.4,77.5,19.2,25.3,118,57,14,1,13,0,189,12.28,608309,0,26,closed_source,False
minimax-m3,59.3,58.9,62.5,60.6,98.2,1.8,86.5,13.5,41.2,4.1,79.4,16.5,20.9,116,68,5,1,4,0,189,38.47,716881,0,27,open_source_pro,False
glm-5.2,59.1,57.0,64.0,59.1,94.5,5.5,89.2,10.8,41.2,8.2,78.3,17.2,22.3,118,60,11,3,8,0,189,27.16,670826,6,28,open_source_pro,False
deepseek-v4-flash,58.1,54.0,58.2,54.4,94.5,5.5,81.1,18.9,42.3,10.3,77.2,20.1,26.3,116,60,13,3,10,0,189,18.99,599269,1,29,open_source_pro,False
qwen3.6-35b,58.1,47.4,53.9,39.8,76.4,23.6,70.3,29.7,23.7,4.1,78.0,20.1,26.8,123,49,17,13,4,0,189,27.18,922502,1,30,open_source_consumer,False
kimi-k3,58.1,57.6,61.1,61.0,98.2,1.8,86.5,13.5,44.3,4.1,78.8,15.9,20.7,114,70,5,0,0,0,189,0,0,0,31,closed_source,False
mimo-v2.5-pro,57.7,55.8,62.5,57.3,100.0,0.0,81.1,18.9,44.3,15.5,76.5,20.3,26.2,115,59,15,0,15,0,189,8.62,550365,0,32,closed_source,False
qwen3.5-9b,57.6,55.7,58.9,55.0,90.9,9.1,86.5,13.5,33.0,4.1,78.3,17.4,22.9,116,64,9,5,4,0,189,36.96,891752,2,33,open_source_consumer,False
gpt-5.5,57.4,58.8,58.1,63.8,100.0,0.0,91.9,8.1,44.3,5.2,78.3,15.2,19.5,112,72,5,0,5,0,189,84.81,703044,2,34,closed_source,False
nemotron-3-ultra,57.4,53.0,60.3,53.2,94.5,5.5,75.7,24.3,41.2,7.2,77.5,19.2,24.8,114,65,10,3,7,0,189,11.51,642653,0,35,open_source_pro,False
deepseek-v4-flash-0731,57.3,56.3,58.4,58.5,98.2,1.8,86.5,13.5,43.3,9.3,77.2,18.3,23.2,113,66,10,0,0,0,189,0,0,0,36,closed_source,False
