rank,model,cw_pct,balanced_ots,critical_miss,threat_capture,false_review,false_escalation,cost_per_run,avg_seconds_per_event,n,incomplete
1,gemini-3.7-flash,72.5,72.5,0.0,100.0,28.9,3.1,,0.00,189,False
2,gemini-3.1-flash-lite,67.8,70.8,0.0,100.0,33.0,3.1,0.24,2.07,189,False
3,claude-opus-4.5,66.3,69.0,1.8,98.2,35.1,12.4,4.81,9.42,189,False
4,gemini-3.5-flash,69.6,68.8,1.8,98.2,30.9,5.2,2.22,9.23,189,False
5,gemini-3.6-flash,68.7,66.9,0.0,100.0,27.8,4.1,,0.00,189,False
6,deepseek-v4-pro-0813,60.4,66.9,0.0,100.0,40.2,8.2,,0.00,189,False
7,gemini-3.1-pro,66.2,66.3,1.8,98.2,37.1,3.1,4.47,22.33,189,False
8,glm-5.3,58.6,65.2,0.0,100.0,47.4,5.2,,0.00,189,False
9,claude-opus-4.6,62.4,64.8,0.0,100.0,43.3,9.3,4.91,11.93,189,False
10,claude-opus-4.8,62.6,64.7,0.0,100.0,33.0,4.1,6.97,9.10,189,False
11,gpt-5.5,57.4,63.8,0.0,100.0,44.3,5.2,6.15,84.81,189,False
12,claude-sonnet-4.5,59.4,61.9,1.8,98.2,45.4,13.4,2.92,12.28,189,False
13,qwen3.7-max,65.7,61.7,0.0,100.0,32.0,6.2,,12.72,189,False
14,qwen3.7-plus,63.8,61.0,3.6,96.4,28.9,4.1,0.37,33.58,189,False
15,kimi-k3,58.1,61.0,1.8,98.2,44.3,4.1,,0.00,189,False
16,muse-glimmer-30b,54.3,61.0,0.0,100.0,47.4,4.1,,0.00,189,False
17,claude-sonnet-4.6,56.3,61.0,0.0,100.0,50.5,9.3,3.06,12.26,189,False
18,grok-4.6,57.9,60.9,0.0,100.0,40.2,1.0,,0.00,189,False
19,gemini-2.5-pro,60.2,60.8,0.0,100.0,41.2,23.7,2.02,15.88,189,False
20,qwen3.8-27b,53.4,60.7,0.0,100.0,49.5,4.1,,0.00,189,False
21,grok-4.3-openrouter,63.2,60.6,3.6,96.4,35.1,7.2,,13.20,189,False
22,grok-4.3,57.0,59.1,1.8,98.2,44.3,8.2,0.97,13.99,189,False
23,gemini-3.5-flash-lite,63.7,58.8,7.3,92.7,33.0,3.1,,0.00,189,False
24,deepseek-v4-flash-0731,57.3,58.5,1.8,98.2,43.3,9.3,,0.00,189,False
25,gpt-5-mini,47.6,58.1,0.0,100.0,64.9,6.2,0.38,21.15,189,False
26,mimo-v2.5-pro,57.7,57.3,0.0,100.0,44.3,15.5,0.28,8.62,189,False
27,laguna-m.1,51.3,57.1,1.8,98.2,51.5,5.2,0.00,61.74,189,False
28,gpt-5.4,48.3,57.0,0.0,100.0,47.4,0.0,2.37,7.35,189,False
29,gpt-5,51.9,56.0,0.0,100.0,45.4,3.1,1.95,27.99,189,False
30,tencent-hy3,52.9,54.9,5.5,94.5,56.7,3.1,,166.80,189,False
31,gpt-5.6-sol,49.5,54.8,1.8,98.2,49.5,4.1,,0.00,189,False
32,gpt-5.6-terra,46.1,54.4,0.0,100.0,55.7,2.1,,0.00,189,False
33,gemini-2.5-flash,52.3,53.7,0.0,100.0,53.6,18.6,0.35,3.00,189,False
34,gpt-5.6-luna,42.8,53.2,1.8,98.2,61.9,4.1,,0.00,189,False
35,owl-alpha,56.0,53.0,3.6,96.4,47.4,10.3,0.00,21.14,189,False
36,qwen3.5-plus-20260420,63.7,52.8,7.3,92.7,23.7,7.2,0.50,45.82,189,False
37,grok-4.20,54.1,52.3,7.3,92.7,43.3,1.0,0.76,6.31,189,False
38,grok-4-openrouter,53.6,51.8,7.3,92.7,43.3,1.0,2.55,6.58,189,False
39,mimo-v2.5,54.0,50.3,3.6,96.4,42.3,5.2,0.11,55.94,189,False
40,qwen3.6-max,65.4,50.1,12.7,87.3,22.7,8.2,2.94,95.29,189,False
41,mimo-v2-pro,61.2,49.7,5.5,94.5,30.9,16.5,0.69,9.85,189,False
42,gemini-2.5-flash-lite,44.8,48.7,0.0,100.0,72.2,32.0,0.08,2.08,189,False
43,qwen3.6-plus,60.3,47.5,9.1,90.9,26.8,3.1,1.67,41.64,189,False
44,gpt-5.4-mini,49.7,46.8,9.1,90.9,47.4,5.2,0.69,4.07,189,False
45,mercury-2,43.1,45.2,3.6,96.4,58.8,6.2,0.19,1.61,189,False
46,claude-haiku-4.5,55.6,42.8,10.9,89.1,37.1,11.3,0.99,6.00,189,False
