rank,model,cw_pct,balanced_ots,critical_miss,threat_capture,false_review,false_escalation,cost_per_run,avg_seconds_per_event,n,incomplete
1,gemini-3.7-flash,72.5,72.5,0.0,100.0,28.9,3.1,,0.00,189,False
2,gemini-3.1-flash-lite,67.8,70.8,0.0,100.0,33.0,3.1,0.24,2.07,189,False
3,claude-opus-4.5,66.3,69.0,1.8,98.2,35.1,12.4,4.81,9.42,189,False
4,gemini-3.5-flash,69.6,68.8,1.8,98.2,30.9,5.2,2.22,9.23,189,False
5,deepseek-v4-pro-0813,60.4,66.9,0.0,100.0,40.2,8.2,,0.00,189,False
6,gemini-3.1-pro,66.2,66.3,1.8,98.2,37.1,3.1,4.47,22.33,189,False
7,claude-opus-4.6,62.4,64.8,0.0,100.0,43.3,9.3,4.91,11.93,189,False
8,claude-opus-4.8,62.6,64.7,0.0,100.0,33.0,4.1,6.97,9.10,189,False
9,gpt-5.5,57.4,63.8,0.0,100.0,44.3,5.2,6.15,84.81,189,False
10,claude-sonnet-4.5,59.4,61.9,1.8,98.2,45.4,13.4,2.92,12.28,189,False
11,qwen3.7-max,65.7,61.7,0.0,100.0,32.0,6.2,,12.72,189,False
12,qwen3.7-plus,63.8,61.0,3.6,96.4,28.9,4.1,0.37,33.58,189,False
13,kimi-k3,58.1,61.0,1.8,98.2,44.3,4.1,,0.00,189,False
14,muse-glimmer-30b,54.3,61.0,0.0,100.0,47.4,4.1,,0.00,189,False
15,claude-sonnet-4.6,56.3,61.0,0.0,100.0,50.5,9.3,3.06,12.26,189,False
16,gemini-2.5-pro,60.2,60.8,0.0,100.0,41.2,23.7,2.02,15.88,189,False
17,grok-4.3-openrouter,63.2,60.6,3.6,96.4,35.1,7.2,,13.20,189,False
18,grok-4.3,57.0,59.1,1.8,98.2,44.3,8.2,0.97,13.99,189,False
19,deepseek-v4-flash-0731,57.3,58.5,1.8,98.2,43.3,9.3,,0.00,189,False
20,gpt-5-mini,47.6,58.1,0.0,100.0,64.9,6.2,0.38,21.15,189,False
21,mimo-v2.5-pro,57.7,57.3,0.0,100.0,44.3,15.5,0.28,8.62,189,False
22,laguna-m.1,51.3,57.1,1.8,98.2,51.5,5.2,0.00,61.74,189,False
23,gpt-5.4,48.3,57.0,0.0,100.0,47.4,0.0,2.37,7.35,189,False
24,gpt-5,51.9,56.0,0.0,100.0,45.4,3.1,1.95,27.99,189,False
25,gpt-5.6-sol,49.5,54.8,1.8,98.2,49.5,4.1,,0.00,189,False
26,gpt-5.6-terra,46.1,54.4,0.0,100.0,55.7,2.1,,0.00,189,False
27,gemini-2.5-flash,52.3,53.7,0.0,100.0,53.6,18.6,0.35,3.00,189,False
28,gpt-5.6-luna,42.8,53.2,1.8,98.2,61.9,4.1,,0.00,189,False
29,owl-alpha,56.0,53.0,3.6,96.4,47.4,10.3,0.00,21.14,189,False
30,mimo-v2.5,54.0,50.3,3.6,96.4,42.3,5.2,0.11,55.94,189,False
31,gemini-2.5-flash-lite,44.8,48.7,0.0,100.0,72.2,32.0,0.08,2.08,189,False
32,mercury-2,43.1,45.2,3.6,96.4,58.8,6.2,0.19,1.61,189,False
