rank,model,cw_pct,balanced_ots,critical_miss,threat_capture,false_review,false_escalation,cost_per_run,avg_seconds_per_event,n,incomplete
1,gemini-3.1-flash-lite,67.8,70.8,0.0,100.0,33.0,3.1,0.24,2.07,189,False
2,glm-5.1,65.3,69.6,0.0,100.0,39.2,10.3,0.84,36.35,189,False
3,claude-opus-4.5,66.3,69.0,1.8,98.2,35.1,12.4,4.81,9.42,189,False
4,gemini-3.5-flash,69.6,68.8,1.8,98.2,30.9,5.2,2.22,9.23,189,False
5,gemma4-31b,65.7,68.5,0.0,100.0,39.2,5.2,0.09,22.45,189,False
6,kimi-k2.7-code,64.0,67.7,1.8,98.2,36.1,7.2,1.05,26.45,189,False
7,deepseek-v4-pro-0813,60.4,66.9,0.0,100.0,40.2,8.2,,0.00,189,False
8,gemini-3.1-pro,66.2,66.3,1.8,98.2,37.1,3.1,4.47,22.33,189,False
9,glm-5,64.2,65.5,1.8,98.2,37.1,12.4,0.75,34.96,189,False
10,claude-opus-4.6,62.4,64.8,0.0,100.0,43.3,9.3,4.91,11.93,189,False
11,claude-opus-4.8,62.6,64.7,0.0,100.0,33.0,4.1,6.97,9.10,189,False
12,nex-n2-pro,56.1,64.2,0.0,100.0,49.5,5.2,0.00,16.53,189,False
13,qwen3-235b-a22b,55.8,64.2,0.0,100.0,54.6,6.2,0.08,29.90,189,False
14,gpt-5.5,57.4,63.8,0.0,100.0,44.3,5.2,6.15,84.81,189,False
15,gemma4-26b-a4b,63.5,62.8,0.0,100.0,40.2,11.3,,12.78,189,False
16,claude-sonnet-4.5,59.4,61.9,1.8,98.2,45.4,13.4,2.92,12.28,189,False
17,qwen3.7-max,65.7,61.7,0.0,100.0,32.0,6.2,,12.72,189,False
18,kimi-k2.6,63.6,61.2,3.6,96.4,30.9,4.1,1.21,72.45,189,False
19,qwen3.7-plus,63.8,61.0,3.6,96.4,28.9,4.1,0.37,33.58,189,False
20,kimi-k3,58.1,61.0,1.8,98.2,44.3,4.1,,0.00,189,False
21,muse-glimmer-30b,54.3,61.0,0.0,100.0,47.4,4.1,,0.00,189,False
22,claude-sonnet-4.6,56.3,61.0,0.0,100.0,50.5,9.3,3.06,12.26,189,False
23,gemini-2.5-pro,60.2,60.8,0.0,100.0,41.2,23.7,2.02,15.88,189,False
24,grok-4.3-openrouter,63.2,60.6,3.6,96.4,35.1,7.2,,13.20,189,False
25,minimax-m3,59.3,60.6,1.8,98.2,41.2,4.1,0.31,38.47,189,False
26,nemotron-3-ultra-550b,59.5,60.3,1.8,98.2,37.1,7.2,0.53,54.03,189,False
27,deepseek-v4-pro,61.5,60.0,0.0,100.0,35.1,5.2,0.27,29.82,189,False
28,grok-4.3,57.0,59.1,1.8,98.2,44.3,8.2,0.97,13.99,189,False
29,deepseek-v4-flash-0731,57.3,58.5,1.8,98.2,43.3,9.3,,0.00,189,False
30,minimax-m2.7,55.3,58.2,1.8,98.2,42.3,5.2,0.27,20.99,189,False
31,gpt-5-mini,47.6,58.1,0.0,100.0,64.9,6.2,0.38,21.15,189,False
32,mimo-v2.5-pro,57.7,57.3,0.0,100.0,44.3,15.5,0.28,8.62,189,False
33,laguna-m.1,51.3,57.1,1.8,98.2,51.5,5.2,0.00,61.74,189,False
34,deepseek-v3.1,53.5,57.1,0.0,100.0,52.6,9.3,0.16,18.10,189,False
35,gpt-5.4,48.3,57.0,0.0,100.0,47.4,0.0,2.37,7.35,189,False
36,deepseek-v3.2,54.4,56.9,1.8,98.2,50.5,6.2,0.16,47.04,189,False
37,gpt-5,51.9,56.0,0.0,100.0,45.4,3.1,1.95,27.99,189,False
38,nemotron-3-super-120b,51.0,55.3,1.8,98.2,46.4,5.2,0.10,32.66,189,False
39,gpt-5.6-sol,49.5,54.8,1.8,98.2,49.5,4.1,,0.00,189,False
40,gpt-5.6-terra,46.1,54.4,0.0,100.0,55.7,2.1,,0.00,189,False
41,gemini-2.5-flash,52.3,53.7,0.0,100.0,53.6,18.6,0.35,3.00,189,False
42,llama-3.1-70b,49.7,53.4,1.8,98.2,59.8,30.9,0.20,13.79,189,False
43,gpt-5.6-luna,42.8,53.2,1.8,98.2,61.9,4.1,,0.00,189,False
44,owl-alpha,56.0,53.0,3.6,96.4,47.4,10.3,0.00,21.14,189,False
45,mimo-v2.5,54.0,50.3,3.6,96.4,42.3,5.2,0.11,55.94,189,False
46,gemini-2.5-flash-lite,44.8,48.7,0.0,100.0,72.2,32.0,0.08,2.08,189,False
47,mercury-2,43.1,45.2,3.6,96.4,58.8,6.2,0.19,1.61,189,False
